

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
152.831  000.078  000.078: require('refactoring.get_select_input')
153.006  000.094  000.094: require('nvim-treesitter.locals')
153.011  000.175  000.080: require('refactoring.ts')
153.013  000.345  000.092: require('refactoring.refactor.123')
153.016  004.456  000.089: require('refactoring.refactor')
153.260  000.075  000.075: require('refactoring.debug.debug_utils')
153.264  000.162  000.087: require('refactoring.debug.printf')
153.356  000.090  000.090: require('refactoring.debug.print_var')
153.450  000.091  000.091: require('refactoring.debug.get_path')
153.532  000.079  000.079: require('refactoring.debug.cleanup')
153.535  000.515  000.093: require('refactoring.debug')
153.536  005.061  000.089: require('refactoring')
153.539  005.178  000.117: require('telescope._extensions.refactoring')
153.637  000.094  000.094: require('telescope._extensions.ui-select')
153.763  000.081  000.081: require('vim.ui')
153.893  000.109  000.109: require('nvim-navic')
153.986  000.088  000.088: require('config.plugins.configs.which')
154.341  000.082  000.082: require('which-key.util')
154.343  000.167  000.085: require('which-key.tree')
154.461  000.115  000.115: require('which-key.config')
154.468  000.396  000.113: require('which-key.keys')
154.472  000.483  000.087: require('which-key')
154.597  000.086  000.086: require('silicon')
154.680  000.079  000.079: require('silicon.config')
155.067  000.078  000.078: require('notify.util.queue')
155.070  000.168  000.090: require('notify.util')
155.195  000.123  000.123: require('notify.config.highlights')
155.198  000.388  000.096: require('notify.config')
155.288  000.087  000.087: require('notify.stages')
155.415  000.124  000.124: require('notify.service.notification')
155.685  000.074  000.074: require('notify.animate.spring')
155.688  000.152  000.078: require('notify.animate')
155.691  000.254  000.102: require('notify.windows')
155.976  000.115  000.115: require('notify.service.buffer.highlights')
155.982  000.208  000.093: require('notify.service.buffer')
155.985  000.292  000.084: require('notify.service')
156.097  000.110  000.110: require('notify.stages.util')
156.110  001.402  000.147: require('notify')
156.399  000.179  000.179: require('notify.stages.fade_in_slide_out')
156.643  000.104  000.104: require('neogit.config')
157.077  000.113  000.113: require('neogit.lib.notification')
157.200  000.120  000.120: require('neogit.logger')
157.545  000.091  000.091: require('neogit.lib.mappings_manager')
157.856  000.100  000.100: require('neogit.lib.util')
157.861  000.202  000.102: require('neogit.lib.ui.component')
157.872  000.323  000.122: require('neogit.lib.ui')
157.881  000.560  000.146: require('neogit.lib.buffer')
157.888  000.684  000.124: require('neogit.process')
157.945  001.132  000.215: require('neogit.lib.git.cli')
158.200  000.116  000.116: require('neogit.lib.git.stash')
158.298  000.094  000.094: require('neogit.lib.collection')
158.301  000.353  000.143: require('neogit.lib.git.status')
158.685  000.113  000.113: require('neogit.lib.md5')
158.692  000.287  000.174: require('neogit.lib.git.diff')
158.695  000.389  000.102: require('neogit.lib.git.log')
158.886  000.090  000.090: require('neogit.lib.input')
158.891  000.193  000.103: require('neogit.lib.git.branch')
159.167  000.085  000.085: require('neogit.lib.rpc')
159.171  000.181  000.097: require('neogit.client')
160.743  001.567  001.567: require('neogit.lib.uv')
160.749  001.855  000.107: require('neogit.lib.git.rebase')
160.751  004.020  000.097: require('neogit.lib.git')
161.117  000.171  000.171: require('neogit.lib.popup.builder')
161.302  000.174  000.174: require('neogit.buffers.common')
161.446  000.132  000.132: require('neogit.lib.popup.lib')
